,client_id,path,sentence,up_votes,down_votes,age,gender,accent
2258,9644456e338fc52e2cd86554e7f4abbdf18254900a11e983013b696631bd59acc12494544071e47e0683e42e0016b6c8482fdb88e43935346c3570fef8bb0a78,47be9a74e4b494ca909a6b4f561db57713164b2d066782f6794fe75a4d7e792e2699717c4bba172f41e51f727f02d3032e6914aa0f5dfdffc0f0e3d6f5684c7c,The two women are talking to the blond children.,2,0,thirties,male,indian
2259,9644456e338fc52e2cd86554e7f4abbdf18254900a11e983013b696631bd59acc12494544071e47e0683e42e0016b6c8482fdb88e43935346c3570fef8bb0a78,64666685de3a7bc038ebf31b8b271e65f902949b5dd13145fdf59479bf0f278e979b6d3e02a074d6d7280d467d4abd5848a9036915cea4e27b55b290d4067a67,Three soccer players walking or standing on the field during the day.,2,0,thirties,male,indian
2260,9674b5c088b7e1f57563f9c9899b8bd317168b96dd8fc3475e751bd1f0f290c1a3dbc3b51366121b77d51037a4016a8cce67e84b2a7cd69f10f3cd0b039b2e6f,b6b1555a159be9e1a3eb458a225c16916ef0476bc47b8177712ea747ce6deeb537f4df2ad18ae5683fe616d0e734d6d5f7926a9b687fb29e7a07a8dfadb3c902,Each clown's wig was secured by a tiny bowler hat held by an elastic chin-strap.,2,0,thirties,male,indian
2608,960df81bc69901ff88b9515d6a8cfd066cf561f8b1e4421bf6e028b47d62e26d2760355eb021f4ffdcc681b4f526a7562b43f9469df65cec68b048b24f72c444,e4d4f19e62db74774f5e425c0f5e3c0a08e8dbf7b74582bd89bc1de3aa597cdf0346117d524a435c4c17f89e60cae0a86d550a66b73b878938a0f6deae684f85,His Internet connection was too slow.,2,0,twenties,male,indian
2613,9b668003831f52e3ad9cdd3cf71ed9d7ab39bc53be49448411d796b2fe4983ccdb8d99e7419a5ce3660803e45627c6c93b60724c30e6e0f167c93cea04f9e776,1da55bf565847816b59fc88c8674bea6b16a856f1c9c6b5f2127daf462db9096317ca0e8046a61b3c3665284c5d7e777a7f3d3f2a42ac645336c920b3212b280,An hotel.,2,0,twenties,female,indian
2705,3db8fac1d94b19d36d9bd301d65782fa7898e51afd9defc5d504c292f8aef6fb3c0b940727928d2643cea87b7ed0c3ed1705d56ecbaf7bbf72dd7d102427ea6d,49cf875aa2336c8983c2dd47ca43aaedf5ced0e59d8da74f9f1b0be529698a7ee368563bb3e4ef1d2acef1a75c234e862d2ee8e38b17dd36b149084159c7ca3c,There’s an artist on campus who makes some really cool drawings.,3,0,twenties,male,indian
2737,45963cb924f57f8504a7685a181d7d74525d066705cfa8df22267f472e34f41a76933ec1d334bb44c822afc495e986e99b58a3865933a8c8568b60c5a714b2ed,6096fc905452402efa9664c85554dcb33252bc3271459038c456c254981291dfdcaaaa6265576a89c643217bce22fb228cc79b5cdd995367e69fcb8478193ead,Cowboys used to train badgers to help them herd cattle.,2,0,thirties,female,indian
2738,45963cb924f57f8504a7685a181d7d74525d066705cfa8df22267f472e34f41a76933ec1d334bb44c822afc495e986e99b58a3865933a8c8568b60c5a714b2ed,8fcaa6547d29378370877ad7b7b917b96034aeec4d946fc6ede7ab3e166a3f63d540a62acd2e13f9e0ecb0879d22f3832d97f7c7cbfe2a7c29f217931e8c48dc,She is being infected with influenza.,3,2,thirties,female,indian
2739,45963cb924f57f8504a7685a181d7d74525d066705cfa8df22267f472e34f41a76933ec1d334bb44c822afc495e986e99b58a3865933a8c8568b60c5a714b2ed,73fbb87e13206052d4f5076ca39df5959d9e890af8c2660af83047106da0ce9b7b8f1fdfa3d491a6a2d31d1eb25776c4f5d469b40406b5f20f36f20415b94fd9,We merely wish to employ you to help locate a missing item.,2,0,thirties,female,indian
3341,8f4c6c6129defe78a6765265db5e4fd0e155d5ca6ec2edb0da4936f6e47dbaec86f208f9b70038b9e0948532a36f6b58fbb1d141b2f67e79b27455bd5f803d01,47f67367332834ea08a3eb9389fde913993635fa26580b034110a7d9e4ce52dab730233057efebe6fc2fd0194bfbbd24852984a0d0fbe9e9b88591251f16c755,Man and woman employed by Mongolian Barbecue stand at counter.,2,1,twenties,male,indian
3342,8f4c6c6129defe78a6765265db5e4fd0e155d5ca6ec2edb0da4936f6e47dbaec86f208f9b70038b9e0948532a36f6b58fbb1d141b2f67e79b27455bd5f803d01,33e59269f04b723d502175a7a4be8f9f2ed9762ac04e5325a92d46639e49146668061bf8715fafe35a67e8311828b669a27591d6d143b2f56a87b7f140f99b36,The dog tries to bite a big blue ball.,2,0,twenties,male,indian
3343,8f4c6c6129defe78a6765265db5e4fd0e155d5ca6ec2edb0da4936f6e47dbaec86f208f9b70038b9e0948532a36f6b58fbb1d141b2f67e79b27455bd5f803d01,3679d5e4716e26d151d85e9f5c21642d95f8eb6cc50ed2cd8d5c32dfeb0cab3ed5a21ae66908229b7269383e9d93beebae16d7c03788ed2afdd288c6ffd6ab11,A woman climbs up a cliff,2,0,twenties,male,indian
3344,8f4c6c6129defe78a6765265db5e4fd0e155d5ca6ec2edb0da4936f6e47dbaec86f208f9b70038b9e0948532a36f6b58fbb1d141b2f67e79b27455bd5f803d01,f4ca0b27da6ef3316581549993e61f058a0533281fbfa0b2edfda3dc9e640c4575542443657ab21df305b274d0f77b98cae8ff299f7fe84f1605e591f9adef8c,A man in a white kayak is kayaking in a rocky river.,2,1,twenties,male,indian
3345,8f4c6c6129defe78a6765265db5e4fd0e155d5ca6ec2edb0da4936f6e47dbaec86f208f9b70038b9e0948532a36f6b58fbb1d141b2f67e79b27455bd5f803d01,c5c24c029f99d3053ff1ee79bd7be19a2dc6e4d602388775145341095c87bada11b2843021c462f942da486e1585adbcadd5be19fcee56f824254d1134aebcd1,A man wearing a helmet is jumping his bike down a staircase.,2,0,twenties,male,indian
3346,8f4c6c6129defe78a6765265db5e4fd0e155d5ca6ec2edb0da4936f6e47dbaec86f208f9b70038b9e0948532a36f6b58fbb1d141b2f67e79b27455bd5f803d01,57acb746313c73e42620fee32bb0fc36d82822bbef1165cb2c5f39dbe2a7b7f7de026684921ac0ab2d40bef977471cea3db2dc6bdb0ce87c22e7e047caf61e7d,A street that is full of shops.,2,1,twenties,male,indian
3347,8f4c6c6129defe78a6765265db5e4fd0e155d5ca6ec2edb0da4936f6e47dbaec86f208f9b70038b9e0948532a36f6b58fbb1d141b2f67e79b27455bd5f803d01,74383bcfc87b64f3ddf7c6dbde04204c21f703c68ef574b2654a4aed76745ebed6e0af87f4755644a09199761706a0846258a1a976e94be48a229ed12701609f,A crowd of police officers standing in the street.,2,0,twenties,male,indian
3348,8f4c6c6129defe78a6765265db5e4fd0e155d5ca6ec2edb0da4936f6e47dbaec86f208f9b70038b9e0948532a36f6b58fbb1d141b2f67e79b27455bd5f803d01,5bbbb0ea083111ae224ef63f4e80cef9d1f1732fcaf4921436cfce9c124237a9e2acfd1e5d7d39c5f59da9759824721ace4898fb124266c31357f8da0ed41e31,A young woman in a pink outfit practices martial arts on a covered patio.,2,0,twenties,male,indian
3349,8f4c6c6129defe78a6765265db5e4fd0e155d5ca6ec2edb0da4936f6e47dbaec86f208f9b70038b9e0948532a36f6b58fbb1d141b2f67e79b27455bd5f803d01,783f8445b53235367540f741f8068ce85369f2b6a464f88260a37ff46270c606bbd577604c986e2a5aa1642b81f8aa495817e483cb70bcc625999e11a4642b74,"Two individuals, a male and a female, standing in a forested area around a tub.",3,0,twenties,male,indian
3350,8f4c6c6129defe78a6765265db5e4fd0e155d5ca6ec2edb0da4936f6e47dbaec86f208f9b70038b9e0948532a36f6b58fbb1d141b2f67e79b27455bd5f803d01,12db60fcf554941c9c6dd221f66a01343c1c6f9ce25d13543cb4751607a0d9eff961786516b46c90cb5b7e6f5911ceb16fbb82c8e69f8e50adf07fe1450616c7,A man on the street making a painting from a photo.,3,0,twenties,male,indian
3351,8f4c6c6129defe78a6765265db5e4fd0e155d5ca6ec2edb0da4936f6e47dbaec86f208f9b70038b9e0948532a36f6b58fbb1d141b2f67e79b27455bd5f803d01,041f6c3e86989e89e419ad41537524bc3abc35c32256527eff65e11f4ddd976cfde0ea6e434f99ffff490718d2d3efd41bbedb2781bb0ad546011772b0ea3d20,Vendor selling drinks in a stall.,3,0,twenties,male,indian
3352,8f4c6c6129defe78a6765265db5e4fd0e155d5ca6ec2edb0da4936f6e47dbaec86f208f9b70038b9e0948532a36f6b58fbb1d141b2f67e79b27455bd5f803d01,8bdc35788c9e9d169445f767e68f9d9df79e852468be924f4f79c632a6d7f3299ff49c8863be91ea1deda92dcf37efba8de4e0ee614728284012caee8ef33fe4,a group of people out on the water.,2,0,twenties,male,indian
3353,8f4c6c6129defe78a6765265db5e4fd0e155d5ca6ec2edb0da4936f6e47dbaec86f208f9b70038b9e0948532a36f6b58fbb1d141b2f67e79b27455bd5f803d01,e6a1b2d902b4cd6315748e5db39a68675432bd4577192c654349b6282a30f5f8382bcf8dea326d60be394d719a429b6d8421894ca84e2a4909bc1f245d456f1b,The night sky in the desert.,2,0,twenties,male,indian
3354,8f4c6c6129defe78a6765265db5e4fd0e155d5ca6ec2edb0da4936f6e47dbaec86f208f9b70038b9e0948532a36f6b58fbb1d141b2f67e79b27455bd5f803d01,d91b6f976b0a4bc8675dafa52a6376eea50051c6b85dd8100e4ab59742d3269922854898cc53bce291427595a6dd1c8a5454abe77f0117b5bf3df31054bdd981,Two people are walking towards a wooded building.,4,3,twenties,male,indian
3355,8f4c6c6129defe78a6765265db5e4fd0e155d5ca6ec2edb0da4936f6e47dbaec86f208f9b70038b9e0948532a36f6b58fbb1d141b2f67e79b27455bd5f803d01,b402ed644b2da016cf2263cee821e3c687e2c566d89cec6fef66ffd40f556c6367f5937c26b05e19418e3b0487e0aed46326182e6a7cb2f60a62a9eb8442f645,The little girl in the white dress is looking at a book with her mother.,2,0,twenties,male,indian
3356,8f4c6c6129defe78a6765265db5e4fd0e155d5ca6ec2edb0da4936f6e47dbaec86f208f9b70038b9e0948532a36f6b58fbb1d141b2f67e79b27455bd5f803d01,4ab055e382e4571932887f2e52088f8d7270a584b09f456fb8d54802d425730032ad6af69e0a8182fad6fde93639cf2d7fc8bd6a4e0cfcb35923a123f5aba8f9,A woman talking to people sitting around her.,2,0,twenties,male,indian
3357,8f4c6c6129defe78a6765265db5e4fd0e155d5ca6ec2edb0da4936f6e47dbaec86f208f9b70038b9e0948532a36f6b58fbb1d141b2f67e79b27455bd5f803d01,28e05d5e7de0de620d3b134ff4243440dfe0dda55375c97dd7306f8fbf77f04c917b23a093ad18461e29f8b11d2798cab792654cb3b5951a30ea56144cb15e01,A toddler rides his little bicycle down a paved path.,2,0,twenties,male,indian
3358,8f4c6c6129defe78a6765265db5e4fd0e155d5ca6ec2edb0da4936f6e47dbaec86f208f9b70038b9e0948532a36f6b58fbb1d141b2f67e79b27455bd5f803d01,426e9252d5928c38b9045bc1e6e1562bc802c51c7b330de45630d15a3b78caac366c0af21eb3ca75e2b71d68bf0b13f41030a6901ce10fabf173bab84a447007,A dog running in the surf.,4,0,twenties,male,indian
3359,8f4c6c6129defe78a6765265db5e4fd0e155d5ca6ec2edb0da4936f6e47dbaec86f208f9b70038b9e0948532a36f6b58fbb1d141b2f67e79b27455bd5f803d01,8de0431b1aef228c65a038e4d6548175de180677bd4c1fb9932ee433ee56aedfd31a8646a72d3db73bbefe9d2fd1d4511694a915c6e89ac46e4ae81ebb26ec45,A person dressed in blue is riding a motorcycle.,2,1,twenties,male,indian
3360,8f4c6c6129defe78a6765265db5e4fd0e155d5ca6ec2edb0da4936f6e47dbaec86f208f9b70038b9e0948532a36f6b58fbb1d141b2f67e79b27455bd5f803d01,7e5da1e29814232ad10b6c1b92e3a3d44e2408aa59715aa0cd9099369161ef458f38aa7fd3c53127c2353ad52bc0fd80da68923bf13f1264bcc27d1218623b52,This is a multiracial conversation between men walking in a warm climate.,2,0,twenties,male,indian
3361,8f4c6c6129defe78a6765265db5e4fd0e155d5ca6ec2edb0da4936f6e47dbaec86f208f9b70038b9e0948532a36f6b58fbb1d141b2f67e79b27455bd5f803d01,d85b72f0635850024b07a6a539e9c86947181a7f71cdf44e4f4d167d49ca4dbe3353fdfc0ac6461d8df92d4c2dea28ee5f1ec035bfe9e979fa1cfcfff11d1b7b,Someone is crawling under a large rock.,2,1,twenties,male,indian
3362,8f4c6c6129defe78a6765265db5e4fd0e155d5ca6ec2edb0da4936f6e47dbaec86f208f9b70038b9e0948532a36f6b58fbb1d141b2f67e79b27455bd5f803d01,86d3e53a52c9c79c9caed2c37ae0838afaa7be6ed4810c8149a501314ec96115f2c8590dd7f9a225bbad09c2b08afe2baf61bd9c2bdbc106874ea056b027f4bd,A darkhaired man in seated on a cinder block in front of a painted wall.,2,0,twenties,male,indian
3363,8f4c6c6129defe78a6765265db5e4fd0e155d5ca6ec2edb0da4936f6e47dbaec86f208f9b70038b9e0948532a36f6b58fbb1d141b2f67e79b27455bd5f803d01,f3538a5def094bbad1d24fc989ab7a8f68b97986ee1d283a70b9466669543d573ab00b7fc2a769cb207866efd7cf2f22898f9a3df6545f1a93dda23d131e11c2,Girls in red and white striped uniforms standing in a field.,2,1,twenties,male,indian
3364,8f4c6c6129defe78a6765265db5e4fd0e155d5ca6ec2edb0da4936f6e47dbaec86f208f9b70038b9e0948532a36f6b58fbb1d141b2f67e79b27455bd5f803d01,bfb576bae87699359f0dfaac6b7f085ad276f101af1ffac557af2d4b0aa67229a125134e052072928ed5fac0d5f9a96119110038d1432dd8b3543116ac40bc17,Someone bent down cleaning poles.,2,1,twenties,male,indian
3365,8f4c6c6129defe78a6765265db5e4fd0e155d5ca6ec2edb0da4936f6e47dbaec86f208f9b70038b9e0948532a36f6b58fbb1d141b2f67e79b27455bd5f803d01,aa19dc4da6a678a3616ceabad7851199259424d9762973a0209ee8141b11616f63678199824ec7c48d86ec9074a916692c2043e60d678e93e8a3ec5887a0dcfe,A woman and a man standing on top of red seesaws.,2,1,twenties,male,indian
3366,8f4c6c6129defe78a6765265db5e4fd0e155d5ca6ec2edb0da4936f6e47dbaec86f208f9b70038b9e0948532a36f6b58fbb1d141b2f67e79b27455bd5f803d01,66b1892e91f98be4e0c90587d353d2cb006c97ac8e6fba5396ce08d8c92eeb765e8dfce6ec2c1758e1f8163389cc6f9315917a6c5bc9ef653f69ee391032807d,A man wearing a leather jacket poses in front of the camera.,3,0,twenties,male,indian
3367,8f4c6c6129defe78a6765265db5e4fd0e155d5ca6ec2edb0da4936f6e47dbaec86f208f9b70038b9e0948532a36f6b58fbb1d141b2f67e79b27455bd5f803d01,47b8d0144dccd48a66ec13786bfca5b9f81085d9a502923377a0316d4edb2656faf08797f13045e1f8a45173de83a82299aa695c42f1deedd52ab995b06b31d4,A brown and white dog standing in a yard.,2,0,twenties,male,indian
3368,8f4c6c6129defe78a6765265db5e4fd0e155d5ca6ec2edb0da4936f6e47dbaec86f208f9b70038b9e0948532a36f6b58fbb1d141b2f67e79b27455bd5f803d01,f0f76881a0a8483ee163e374a1f11b34112448e7d8c59a37dd7a169c7a9e35b5bf6633bc62d03c173f4935963c808673ce06df3b37525e590e771368c49dbc85,A family picnics in a park with a greenhouse in the background.,3,0,twenties,male,indian
3369,8f4c6c6129defe78a6765265db5e4fd0e155d5ca6ec2edb0da4936f6e47dbaec86f208f9b70038b9e0948532a36f6b58fbb1d141b2f67e79b27455bd5f803d01,ae139f13140497a45ab55bf35bf09d03eadc0443c0938a2497423d036223ce9b60a0f4c56781d099f250a895cff2629979eea26d05cb5833da39da3f78c552ee,a man on stage singing into a microphone.,2,1,twenties,male,indian
3370,8f4c6c6129defe78a6765265db5e4fd0e155d5ca6ec2edb0da4936f6e47dbaec86f208f9b70038b9e0948532a36f6b58fbb1d141b2f67e79b27455bd5f803d01,14b8a08aff5b238a570c828f1da6c4b862ae3bb1ebfd6e5520d875a08a9a226dd524ca2c5bb87be5caba3f31a58d33e1068b8e6b31527aa8ef5dd13e0e1b5050,A woman sitting at a table in a bar.,2,0,twenties,male,indian
3371,8f4c6c6129defe78a6765265db5e4fd0e155d5ca6ec2edb0da4936f6e47dbaec86f208f9b70038b9e0948532a36f6b58fbb1d141b2f67e79b27455bd5f803d01,e2f9cda1aca9b36aa0871c72512996645c8687ffbfa93a483d732f1e198b784fa4de0d25e132ed19bb17462bc3ea6ab4763f4247a4377bae8a1f4de08a4e5ab5,"A male AfricanAmerican wearing jeans and a camouflage jacket, walks and laughs with another man.",2,0,twenties,male,indian
3372,8f4c6c6129defe78a6765265db5e4fd0e155d5ca6ec2edb0da4936f6e47dbaec86f208f9b70038b9e0948532a36f6b58fbb1d141b2f67e79b27455bd5f803d01,bcd7af91efe8d5b8802f00aecfd89621f951a74e993067f4bde33fc623cdbddc28c531b3532b4300a69669260c8a8852f604bf6a557f211ae29d073c78f95b08,A skier is falling into the snow.,2,1,twenties,male,indian
3373,8f4c6c6129defe78a6765265db5e4fd0e155d5ca6ec2edb0da4936f6e47dbaec86f208f9b70038b9e0948532a36f6b58fbb1d141b2f67e79b27455bd5f803d01,bd02ddc041af3b42003ed3bdeb0959635a3a05f7e7d55fb7303921c91e5648ff3083219a6f6fcea358b70bdedb7532513aaf9449a6d664f8058d87ffeeab631e,"Two men on a street, one holding a red flag.",2,1,twenties,male,indian
3374,8f4c6c6129defe78a6765265db5e4fd0e155d5ca6ec2edb0da4936f6e47dbaec86f208f9b70038b9e0948532a36f6b58fbb1d141b2f67e79b27455bd5f803d01,d272b36a8fd6e749f04a40efb17a0c245ea2efe35cd3444ef5b4149f716690a2800191f979f0856648806c47aa9d781a7921fea611f499b5dd0dd75c8fa8480d,Two boys and a girl dressed in traditional clothing.,2,1,twenties,male,indian
3867,e41dbe67ecc68c240b6255f3e71e5b29ea5b2bf857abc9625cea74d35b58dbb7154c8b1a7dcc3f38c9f7f5a83c977e915990f89128b05ce93e4720f17d118ec0,e46cc5d226cd9423420e406fc6fcc7360cd8994ce7d54597248ea04f5b416c7a61c5519445b5c5a055a759a4316b52c3212313e0cdb8ec922e2da98fb1f2b8a6,Seventeen students admired that Sam and Sally are both the smartest in their class.,2,0,thirties,male,indian
3884,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,3b56880e935f400e88f5311085d0dfe4cd15fc3597d3ad8b65c8240777f385b86284f1007da3a168afbb42f9d2571e8a3b4ad5c5adfb67aff653f162bdabd15b,A girl showing an art creation.,2,0,fourties,male,indian
3885,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,23d7bb659772d4d44b378f16cfb600b91f6bf64089a5a5c6a2bc53d180bcaac30fb063ab1a40f4770d384c56a6135e8f15e3be012caee878d0dcbc76bf9dc7f6,A group of people are waiting in a line outside of a building.,2,0,fourties,male,indian
3886,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,92334c02f04f5781873313aa6cd5756d5360cbcefc3d6b5167441afd0af7e397f7ef7e2424b4c3adcf8ffac4bfdb086b28ee84079e1bd360dd7aa330eeef84a7,a bride is holding a champagne glass next to a man in a blue shirt and necktie.,2,0,fourties,male,indian
3887,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,d23eed5c65a143dc1cf18efc789e67dc909f9a869791c78fbe1afe7172a63045c5d92acc6f5c4becfaf96fdcc40d5fb367c1d3db983497ca24f5ec5d4bfbe9b2,The man in the black shirt is playing the electric keyboard.,2,0,fourties,male,indian
3888,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,b06c2ebba3f847a0b3a4f6cfd7abb51f082c084949b832b872fc69d119e40458f0b413e6b4aeb692d0f5b57a64b3bba48b5189445d5aea562e604be4de311924,Two people sitting on a rock in a city park.,2,0,fourties,male,indian
3889,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,637afa0e1578964781b10958df05bcc8e403a7af642a09ad6d93256267c777c0a98d0f746840f15cb4cbceae23a8c90f1d2147d8bfc240b7fe5b25e203b91beb,A woman on the beach is covered in seaweed.,2,0,fourties,male,indian
3890,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,5f51ed5e03b4715992323889c7db169194d9f5b5ae51e14912c336a52b3f4207d6ba8aa3117697274a87060cd0c199ec236d02ef57d930304470e245b9be8946,A man in a business suit walking on the sidewalk.,2,0,fourties,male,indian
3891,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,fc0d300fc55bff2559aeccb1de0b14463517c20f2f569d4d4c193287a31839e0d2bacff3ff4865797879b12e18cf494aee39598f31695bb84fd3e3a59630e004,Man and a woman walking on the street,2,0,fourties,male,indian
3892,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,4af8220cde8c95132636f1da38dc4ffa8573f310b8254d727ac3d521c81c0b697b1f271286ddbdfc29f5c74813fe135c441c9feeb577f837144fb44ee0a16727,A man grips onto his walking stick as he hikes the rough terrain.,2,0,fourties,male,indian
3893,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,148982d8b31b11d1800eaad6d9c743f7e7b7a691f7865505e9731656e7c3dc10d2ba9c6f15da29ee640c2b7c943554139c09c1e68fc6e8f46ec7b7c7b5e427ae,"A police officer, with many items around his waist, is ordering something at a cafe.",2,1,fourties,male,indian
3894,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,164506a26c5ed913df6431c80fb2cf2150636d64398150d49b9559aaf90249c8471d126f483a548e6cf6ef34313ad6b8448007f0118c0a01dd52317881d0ac24,A man jumping on a skiing board.,2,0,fourties,male,indian
3895,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,c89d576f7093566a48dcc6f0cf99b4f7d9c1c2d0c90285fa5e654a56446ba2e68841057b0e945b2517852a9ce0975c561ddb1a9ce8af6a03faa23dd9913fad63,Two arab men laughing and joking,2,0,fourties,male,indian
3896,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,abc6e9247a22895e826557d334d80242583c41ce4a76fa547dbd1b47500b1dfb1b4272b1584de3e649c9f4e9ee14ff68020fddf2d41f3e01d8c1516eb7fc7c73,Man in red carries flowers as a dog follows.,2,1,fourties,male,indian
3897,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,aca3fe74db29ba9934cbfe390b01e10d55b9ceec7005e73762cfba593572cdd6810abcd74f08e402565aadb62a6215a7044876f6ea873acd6177b17e7326bdd4,add lunacy to my chill out playlist,2,0,fourties,male,indian
3898,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,eb03eb7467d613adc3cd124047e752bda5357a4cd1c0dd70d3c26331f6f24751ff42ee87f309dabe15228efc40825cd777d037a841ed8ba1091454895b7d2923,A man is giving a presentation in front of three people.,2,0,fourties,male,indian
3899,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,88e7f3028336f656f6406ba660700a3bf5838febed3bb505a06c873340cad355d27d71e2de971e178ffea45f3805dc1bde9f28f35a05a52c9076529c20b3ce23,A cook is posing for a camera while cooking.,2,0,fourties,male,indian
3900,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,ba0bfd7432acaf4232aeab6949f47f0982bea6ce56747faf09ecb72ef9cd08cb0e57484ef3e6c450623d33bfe2ee0f315fdfacddc7bec8a5c798bd8543e0e7d9,Children playing on a playground.,2,0,fourties,male,indian
3901,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,9baf5b38cd0fff577912d39a164a713f62e4a4c4d9949bf792fb7d35f995e978fe1d5760034acb6d97a4b516a1087fbea65631665242c6cc3b698616ba75377e,"Children playing soccer, one in the process of kicking the ball.",2,0,fourties,male,indian
3902,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,5b2421a09c2db5ddedea3f28738390e8e3612aa1c2f44e8aa8e387776c813760856dd8c84543de219a0601828717e71480cb68b18f107b919fface6f09d6e6ca,A young man watches as a Jenga tower tumbles.,2,0,fourties,male,indian
3903,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,02c751385165fe4742a1554e18059af0a43251528fdd422694a70579d647f93cbc0d734712ebafae61855cf8d4e4e3f8c1d8721f6449f0dd92efcb34a75ec2ae,Three people in a green house.,2,0,fourties,male,indian
3904,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,b0bdc482983ea8957bf193717f7c9d4c5cfac55ce016babc0ca04b64de5a34d9f478c676ce2c285fbc03f9e2b6f6ec6873a776ffeaaf98fcc8b78dd463e637a7,Four darkskinned people working on a project,2,0,fourties,male,indian
3905,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,8cd295140233b4a7cfe277d42e2810de7f8b1fe058a5ffe74f12c46392d173cbf53626cb6e863630773aace948a5230cec17ba7f8f72feb181a8878a31a94d7f,A mailman poses with his cart in front of a residential building.,2,1,fourties,male,indian
3906,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,d8821d29a6a406cec7d3d4ffab3d742c0a3e23a3933626bf806861ac4f87d5adb25227c85a5f8ff83a56f884e60458655f37b2a9d9ebdf511cb0d9eec183123a,an overhead view of a painter working on a scaffold.,2,1,fourties,male,indian
3907,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,90ad51700d6261c46beb1ca21347d52d376ca37d15457d6424b28ae0837cdf7fb5582103fd50114780b8400690d0c0a4e3bcb66b52bfea535edf4ca914af6aa4,There are people walking down a sidewalk in a Japanese city.,2,0,fourties,male,indian
